uni_lemma,language
blanket,Mandarin (Beijing)
pen,Mandarin (Beijing)
butt,Mandarin (Beijing)
horse,Mandarin (Beijing)
water (not beverage),Mandarin (Beijing)
bunny,Mandarin (Beijing)
doll,Mandarin (Beijing)
duck,Mandarin (Beijing)
bowl,Mandarin (Beijing)
tree,Mandarin (Beijing)
tummy,Mandarin (Beijing)
porridge,Mandarin (Beijing)
bed,Mandarin (Beijing)
tooth,Mandarin (Beijing)
clock,Mandarin (Beijing)
bun,Mandarin (Beijing)
melon,Mandarin (Beijing)
medicine,Mandarin (Beijing)
dumpling,Mandarin (Beijing)
mouth,Mandarin (Beijing)
banana,Mandarin (Beijing)
beans,Mandarin (Beijing)
cup,Mandarin (Beijing)
nose,Mandarin (Beijing)
tiger,Mandarin (Beijing)
pasta,Mandarin (Beijing)
basin,Mandarin (Beijing)
orange (food),Mandarin (Beijing)
pear,Mandarin (Beijing)
face,Mandarin (Beijing)
button,Mandarin (Beijing)
sheep,Mandarin (Beijing)
knife,Mandarin (Beijing)
leg,Mandarin (Beijing)
cow,Mandarin (Beijing)
paper,Mandarin (Beijing)
shrimp,Mandarin (Beijing)
ear,Mandarin (Beijing)
eye,Mandarin (Beijing)
telephone,Mandarin (Beijing)
rice,Mandarin (Beijing)
street,Mandarin (Beijing)
apple,Mandarin (Beijing)
soil,Mandarin (Beijing)
pocket,Mandarin (Beijing)
money,Mandarin (Beijing)
picture,Mandarin (Beijing)
soup,Mandarin (Beijing)
chopstick,Mandarin (Beijing)
clothes,Mandarin (Beijing)
wind,Mandarin (Beijing)
cookie,Mandarin (Beijing)
monkey,Mandarin (Beijing)
gun,Mandarin (Beijing)
grass,Mandarin (Beijing)
tv,Mandarin (Beijing)
grapes,Mandarin (Beijing)
bottle,Mandarin (Beijing)
table,Mandarin (Beijing)
pants,Mandarin (Beijing)
pig,Mandarin (Beijing)
pillow,Mandarin (Beijing)
rain,Mandarin (Beijing)
bug,Mandarin (Beijing)
pancake,Mandarin (Beijing)
elephant,Mandarin (Beijing)
soap,Mandarin (Beijing)
hair,Mandarin (Beijing)
watermelon,Mandarin (Beijing)
song,Mandarin (Beijing)
balloon,Mandarin (Beijing)
pot,Mandarin (Beijing)
airplane,Mandarin (Beijing)
strawberry,Mandarin (Beijing)
stool,Mandarin (Beijing)
bucket,Mandarin (Beijing)
mirror,Mandarin (Beijing)
plate,Mandarin (Beijing)
bear,Mandarin (Beijing)
bread,Mandarin (Beijing)
comb (object),Mandarin (Beijing)
sky,Mandarin (Beijing)
pigeon,Mandarin (Beijing)
leaf,Mandarin (Beijing)
star,Mandarin (Beijing)
umbrella,Mandarin (Beijing)
sun,Mandarin (Beijing)
glasses,Mandarin (Beijing)
towel,Mandarin (Beijing)
moon,Mandarin (Beijing)
eyebrow,Mandarin (Beijing)
newspaper,Mandarin (Beijing)
window,Mandarin (Beijing)
toothbrush,Mandarin (Beijing)
key,Mandarin (Beijing)
boat,Mandarin (Beijing)
carrot,Mandarin (Beijing)
refrigerator,Mandarin (Beijing)
jelly,Mandarin (Beijing)
mouse,Mandarin (Beijing)
cucumber,Mandarin (Beijing)
tomato,Mandarin (Beijing)
kefir,Mandarin (Beijing)
tea,Mandarin (Beijing)
glove,Mandarin (Beijing)
cake,Mandarin (Beijing)
yogurt,Mandarin (Beijing)
handkerchief,Mandarin (Beijing)
deer,Mandarin (Beijing)
stone,Mandarin (Beijing)
snow,Mandarin (Beijing)
road,Mandarin (Beijing)
tongue,Mandarin (Beijing)
lion,Mandarin (Beijing)
chair,Mandarin (Beijing)
train,Mandarin (Beijing)
arm,Mandarin (Beijing)
peanut,Mandarin (Beijing)
neck,Mandarin (Beijing)
couch,Mandarin (Beijing)
frog,Mandarin (Beijing)
ant,Mandarin (Beijing)
chocolate,Mandarin (Beijing)
watch (object),Mandarin (Beijing)
cloth,Mandarin (Beijing)
cabbage,Mandarin (Beijing)
panda,Mandarin (Beijing)
swallow (animal),Mandarin (Beijing)
stairs,Mandarin (Beijing)
toy (object),Mandarin (Beijing)
brain,Mandarin (Beijing)
box,Mandarin (Beijing)
scarf,Mandarin (Beijing)
coke,Mandarin (Beijing)
sweater,Mandarin (Beijing)
potty,Mandarin (Beijing)
french fries,Mandarin (Beijing)
tofu,Mandarin (Beijing)
turtle,Mandarin (Beijing)
sleeve,Mandarin (Beijing)
story,Mandarin (Beijing)
bathroom,Mandarin (Beijing)
goose,Mandarin (Beijing)
blocks,Mandarin (Beijing)
shovel,Mandarin (Beijing)
brush (object),Mandarin (Beijing)
battery,Mandarin (Beijing)
bicycle,Mandarin (Beijing)
slipper,Mandarin (Beijing)
sand,Mandarin (Beijing)
mountain,Mandarin (Beijing)
scissors,Mandarin (Beijing)
rope,Mandarin (Beijing)
butterfly,Mandarin (Beijing)
flour,Mandarin (Beijing)
house,Mandarin (Beijing)
juice,Mandarin (Beijing)
slide (object),Mandarin (Beijing)
stick,Mandarin (Beijing)
broom,Mandarin (Beijing)
potato,Mandarin (Beijing)
kitchen,Mandarin (Beijing)
washing machine,Mandarin (Beijing)
snake,Mandarin (Beijing)
trash,Mandarin (Beijing)
finger,Mandarin (Beijing)
dragon,Mandarin (Beijing)
closet,Mandarin (Beijing)
piano,Mandarin (Beijing)
drawer,Mandarin (Beijing)
fan,Mandarin (Beijing)
giraffe,Mandarin (Beijing)
vest,Mandarin (Beijing)
belly button,Mandarin (Beijing)
wheel,Mandarin (Beijing)
motorcycle,Mandarin (Beijing)
camera,Mandarin (Beijing)
wolf,Mandarin (Beijing)
nut,Mandarin (Beijing)
scallion,Mandarin (Beijing)
kite,Mandarin (Beijing)
zipper,Mandarin (Beijing)
popsicle,Mandarin (Beijing)
mosquito,Mandarin (Beijing)
corn,Mandarin (Beijing)
thing,Mandarin (Beijing)
chicken (food),Mandarin (Beijing)
rag,Mandarin (Beijing)
fly (animal),Mandarin (Beijing)
tissue,Mandarin (Beijing)
fruit,Mandarin (Beijing)
bathtub,Mandarin (Beijing)
pencil,Mandarin (Beijing)
purse,Mandarin (Beijing)
pepper,Mandarin (Beijing)
animal,Mandarin (Beijing)
taxi,Mandarin (Beijing)
hammer,Mandarin (Beijing)
traffic light,Mandarin (Beijing)
bus,Mandarin (Beijing)
vinegar,Mandarin (Beijing)
belt,Mandarin (Beijing)
salt,Mandarin (Beijing)
camel,Mandarin (Beijing)
cheek,Mandarin (Beijing)
mushroom,Mandarin (Beijing)
spinach,Mandarin (Beijing)
ice cream,Mandarin (Beijing)
elevator,Mandarin (Beijing)
skirt,Mandarin (Beijing)
tricycle,Mandarin (Beijing)
peacock,Mandarin (Beijing)
faucet,Mandarin (Beijing)
zebra,Mandarin (Beijing)
jacket,Mandarin (Beijing)
nail (object),Mandarin (Beijing)
wood,Mandarin (Beijing)
dragonfly,Mandarin (Beijing)
air conditioner,Mandarin (Beijing)
liver (food),Mandarin (Beijing)
game,Mandarin (Beijing)
penguin,Mandarin (Beijing)
balcony,Mandarin (Beijing)
bib,Mandarin (Beijing)
truck,Mandarin (Beijing)
bell,Mandarin (Beijing)
basket,Mandarin (Beijing)
thumb,Mandarin (Beijing)
sprouts,Mandarin (Beijing)
soda,Mandarin (Beijing)
shirt,Mandarin (Beijing)
shoulder,Mandarin (Beijing)
gorilla,Mandarin (Beijing)
cloud,Mandarin (Beijing)
voice recorder,Mandarin (Beijing)
ladder,Mandarin (Beijing)
sandal,Mandarin (Beijing)
swing (object),Mandarin (Beijing)
puddle,Mandarin (Beijing)
necklace,Mandarin (Beijing)
sauce,Mandarin (Beijing)
snowman,Mandarin (Beijing)
board game,Mandarin (Beijing)
crane,Mandarin (Beijing)
radio,Mandarin (Beijing)
dustpan,Mandarin (Beijing)
stove,Mandarin (Beijing)
lip,Mandarin (Beijing)
donut,Mandarin (Beijing)
branch,Mandarin (Beijing)
eagle,Mandarin (Beijing)
underpants,Mandarin (Beijing)
trampoline,Mandarin (Beijing)
coat,Mandarin (Beijing)
drink (beverage),Mandarin (Beijing)
hedgehog,Mandarin (Beijing)
gas,Mandarin (Beijing)
alligator,Mandarin (Beijing)
chin,Mandarin (Beijing)
roof,Mandarin (Beijing)
dinosaur,Mandarin (Beijing)
water (beverage),Korean
cracker,Korean
ball,Korean
bread,Korean
milk,Korean
eye,Korean
nose,Korean
car,Korean
foot,Korean
book,Korean
ear,Korean
flower,Korean
strawberry,Korean
mouth,Korean
shoe,Korean
hand,Korean
banana,Korean
sock,Korean
candy,Korean
apple,Korean
tummy,Korean
meat,Korean
tangerine,Korean
head,Korean
hat,Korean
pants,Korean
dog,Korean
bunny,Korean
cup,Korean
dried seaweed,Korean
cat,Korean
ice cream,Korean
door,Korean
bag,Korean
balloon,Korean
bear,Korean
juice,Korean
blanket,Korean
medicine,Korean
grapes,Korean
butterfly,Korean
pig,Korean
chair,Korean
train,Korean
tree,Korean
bus,Korean
bird,Korean
belly button,Korean
pillow,Korean
elephant,Korean
duck,Korean
diaper,Korean
cheese,Korean
fish (animal),Korean
tiger,Korean
lion,Korean
toothbrush,Korean
leg,Korean
airplane,Korean
dress (object),Korean
tooth,Korean
doll,Korean
telephone,Korean
egg,Korean
rain,Korean
scissors,Korean
cow,Korean
bicycle,Korean
room,Korean
soap,Korean
watermelon,Korean
spoon,Korean
tv,Korean
hip,Korean
horse,Korean
crocodile,Korean
glasses,Korean
towel,Korean
boat,Korean
kimchi,Korean
fork,Korean
clock,Korean
face,Korean
umbrella,Korean
tissue,Korean
yogurt,Korean
refrigerator,Korean
giraffe,Korean
neck,Korean
snow,Korean
arm,Korean
underpants,Korean
slide (object),Korean
star,Korean
frog,Korean
chicken (animal),Korean
bed,Korean
toothpaste,Korean
comb (object),Korean
swing (object),Korean
hippopotamus,Korean
rice cake,Korean
beans,Korean
money,Korean
stroller,Korean
cake,Korean
penis,Korean
monkey,Korean
ant,Korean
turtle,Korean
moon,Korean
snake,Korean
pencil,Korean
bathroom,Korean
soup,Korean
carrot,Korean
taxi,Korean
toy (object),Korean
chocolate,Korean
chick,Korean
sweet potato,Korean
piano,Korean
glove,Korean
button,Korean
sun,Korean
orange (food),Korean
coffee,Korean
stairs,Korean
knife,Korean
finger,Korean
blocks,Korean
fire,Korean
chopstick,Korean
motorcycle,Korean
crayon,Korean
trash can,Korean
gum,Korean
tomato,Korean
sheep,Korean
paper,Korean
pizza,Korean
penguin,Korean
vacuum,Korean
pocket,Korean
butt,Korean
noodles,Korean
potato,Korean
key,Korean
jacket,Korean
hair,Korean
seesaw,Korean
mouse,Korean
dinosaur,Korean
necklace,Korean
picture,Korean
sky,Korean
fruit,Korean
window,Korean
trash,Korean
firetruck,Korean
bowl,Korean
corn,Korean
snowman,Korean
knee,Korean
squirrel,Korean
stone,Korean
truck,Korean
washing machine,Korean
persimmon,Korean
camera,Korean
fox,Korean
ice,Korean
pasta,Korean
bug,Korean
couch,Korean
back (body part),Korean
dress shoe,Korean
rag,Korean
blood,Korean
glue (object),Korean
radish,Korean
sneaker,Korean
bathtub,Korean
fish (food),Korean
present,Korean
wallet,Korean
shoulder,Korean
wind,Korean
helicopter,Korean
cloud,Korean
deer,Korean
bee,Korean
skirt,Korean
pumpkin,Korean
nut,Korean
gun,Korean
fingernail,Korean
scarf,Korean
lip,Korean
coke,Korean
sand,Korean
goat,Korean
rice,Korean
sparrow,Korean
bubbles,Korean
robot,Korean
kitchen,Korean
drawer,Korean
plate,Korean
cabbage,Korean
animal,Korean
pigeon,Korean
peanut,Korean
chicken (food),Korean
body,Korean
closet,Korean
chin,Korean
grass,Korean
hamburger,Korean
soil,Korean
peach,Korean
owl,Korean
hanger,Korean
tongue,Korean
box,Korean
bottle,Korean
street,Korean
waist,Korean
broom,Korean
ground,Korean
calf,Korean
glass,Korean
radio,Korean
ladder,Korean
sugar,Korean
soda,Korean
pajamas,Korean
salt,Korean
hammer,Korean
microwave,Korean
cheek,Korean
food,Korean
hot dog,Korean
sled,Korean
tray,Korean
donut,Korean
belt,Korean
roof,Korean
melon,Korean
boulder,Korean
ankle,Korean
spaghetti,Korean
goose,Korean
nail (object),Korean
donkey,Korean
pancake,Korean
coat,Korean
lawn,Korean
flag,Korean
basement,Korean
ball,English (Australian)
car,English (Australian)
banana,English (Australian)
shoe,English (Australian)
dog,English (Australian)
book,English (Australian)
duck,English (Australian)
bird,English (Australian)
eye,English (Australian)
nose,English (Australian)
cat,English (Australian)
bathtub,English (Australian)
cheese,English (Australian)
fish (animal),English (Australian)
cookie,English (Australian)
sock,English (Australian)
hat,English (Australian)
ear,English (Australian)
milk,English (Australian)
balloon,English (Australian)
apple,English (Australian)
airplane,English (Australian)
truck,English (Australian)
door,English (Australian)
bubbles,English (Australian)
key,English (Australian)
juice,English (Australian)
bicycle,English (Australian)
flower,English (Australian)
teddybear,English (Australian)
star,English (Australian)
bottle,English (Australian)
spoon,English (Australian)
bus,English (Australian)
hair,English (Australian)
diaper,English (Australian)
tooth,English (Australian)
water (beverage),English (Australian)
bed,English (Australian)
drink (beverage),English (Australian)
chair,English (Australian)
foot,English (Australian)
cow,English (Australian)
boat,English (Australian)
telephone,English (Australian)
cup,English (Australian)
mouth,English (Australian)
train,English (Australian)
toast,English (Australian)
bear,English (Australian)
puppy,English (Australian)
water (not beverage),English (Australian)
pig,English (Australian)
cake,English (Australian)
tree,English (Australian)
moon,English (Australian)
horse,English (Australian)
bee,English (Australian)
toe,English (Australian)
tummy,English (Australian)
hand,English (Australian)
fish (food),English (Australian)
light (object),English (Australian)
head,English (Australian)
trash,English (Australian)
bread,English (Australian)
bunny,English (Australian)
yogurt,English (Australian)
rain,English (Australian)
toothbrush,English (Australian)
frog,English (Australian)
shower,English (Australian)
butt,English (Australian)
clock,English (Australian)
tv,English (Australian)
arm,English (Australian)
monkey,English (Australian)
bib,English (Australian)
fork,English (Australian)
belly button,English (Australian)
doll,English (Australian)
bowl,English (Australian)
toy (object),English (Australian)
finger,English (Australian)
sheep,English (Australian)
tiger,English (Australian)
chocolate,English (Australian)
ice cream,English (Australian)
egg,English (Australian)
chips,English (Australian)
tissue,English (Australian)
grapes,English (Australian)
blanket,English (Australian)
chicken (food),English (Australian)
swing (object),English (Australian)
stroller,English (Australian)
sun,English (Australian)
brush (object),English (Australian)
pants,English (Australian)
snake,English (Australian)
leg,English (Australian)
butterfly,English (Australian)
box,English (Australian)
boots,English (Australian)
spider,English (Australian)
lion,English (Australian)
knee,English (Australian)
turtle,English (Australian)
button,English (Australian)
plate,English (Australian)
towel,English (Australian)
sandwich,English (Australian)
orange (food),English (Australian)
elephant,English (Australian)
soap,English (Australian)
table,English (Australian)
grass,English (Australian)
blocks,English (Australian)
pillow,English (Australian)
pajamas,English (Australian)
crib,English (Australian)
pen,English (Australian)
pool,English (Australian)
face,English (Australian)
lollipop,English (Australian)
refrigerator,English (Australian)
money,English (Australian)
story,English (Australian)
chin,English (Australian)
giraffe,English (Australian)
pasta,English (Australian)
sauce,English (Australian)
stairs,English (Australian)
strawberry,English (Australian)
mouse,English (Australian)
breast,English (Australian)
sky,English (Australian)
carrot,English (Australian)
tongue,English (Australian)
kangaroo,English (Australian)
jacket,English (Australian)
peas,English (Australian)
bucket,English (Australian)
crocodile,English (Australian)
window,English (Australian)
helicopter,English (Australian)
rock (object),English (Australian)
shirt,English (Australian)
potato,English (Australian)
motorcycle,English (Australian)
corn,English (Australian)
stick,English (Australian)
food,English (Australian)
pizza,English (Australian)
broom,English (Australian)
spaghetti,English (Australian)
paper,English (Australian)
cheek,English (Australian)
sunglasses,English (Australian)
sweater,English (Australian)
knife,English (Australian)
slide (object),English (Australian)
computer,English (Australian)
potty,English (Australian)
noodles,English (Australian)
present,English (Australian)
kitchen,English (Australian)
butter,English (Australian)
photo,English (Australian)
play dough,English (Australian)
scissors,English (Australian)
puzzle,English (Australian)
slipper,English (Australian)
owl,English (Australian)
watch (object),English (Australian)
couch,English (Australian)
koala,English (Australian)
wind,English (Australian)
cloud,English (Australian)
room,English (Australian)
firetruck,English (Australian)
zipper,English (Australian)
ice,English (Australian)
coffee,English (Australian)
lip,English (Australian)
ant,English (Australian)
medicine,English (Australian)
tractor,English (Australian)
meat,English (Australian)
dress (object),English (Australian)
penguin,English (Australian)
bedroom,English (Australian)
neck,English (Australian)
bug,English (Australian)
bathroom,English (Australian)
basket,English (Australian)
shorts,English (Australian)
picture,English (Australian)
zebra,English (Australian)
high chair,English (Australian)
garden,English (Australian)
cereal,English (Australian)
camera,English (Australian)
underpants,English (Australian)
beans,English (Australian)
hose,English (Australian)
sandbox,English (Australian)
animal,English (Australian)
purse,English (Australian)
glass,English (Australian)
vacuum,English (Australian)
crayon,English (Australian)
jam,English (Australian)
oven,English (Australian)
nail (body part),English (Australian)
hammer,English (Australian)
jeans,English (Australian)
soup,English (Australian)
sink,English (Australian)
donkey,English (Australian)
shoulder,English (Australian)
drawer,English (Australian)
bat (object),English (Australian)
pumpkin,English (Australian)
washing machine,English (Australian)
game,English (Australian)
wall,English (Australian)
pastry,English (Australian)
necklace,English (Australian)
pancake,English (Australian)
backyard,English (Australian)
lawn mower,English (Australian)
ladder,English (Australian)
popcorn,English (Australian)
plant,English (Australian)
belt,English (Australian)
garage,English (Australian)
peanut butter,English (Australian)
coat,English (Australian)
lamb,English (Australian)
roof,English (Australian)
stone,English (Australian)
comb (object),English (Australian)
pudding,English (Australian)
pineapple,English (Australian)
flag,English (Australian)
nut,English (Australian)
pony,English (Australian)
muffin,English (Australian)
raisin,English (Australian)
living room,English (Australian)
glue (object),English (Australian)
mango,English (Australian)
mop (object),English (Australian)
hamburger,English (Australian)
goose,English (Australian)
street,English (Australian)
radio,English (Australian)
dish,English (Australian)
tape (object),English (Australian)
wombat,English (Australian)
waves,English (Australian)
shovel,English (Australian)
lamp,English (Australian)
cockroach,English (Australian)
tuna,English (Australian)
salt,English (Australian)
cap,English (Australian)
sandal,English (Australian)
shed,English (Australian)
possum,English (Australian)
soda,English (Australian)
deer,English (Australian)
closet,English (Australian)
sidewalk,English (Australian)
can (object),English (Australian)
jar,English (Australian)
turkey,English (Australian)
ankle,English (Australian)
bench,English (Australian)
napkin,English (Australian)
tricycle,English (Australian)
rocking chair,English (Australian)
sprinkler,English (Australian)
porch,English (Australian)
tray,English (Australian)
vitamin,English (Australian)
vanilla,English (Australian)
gum,English (Australian)
play pen,English (Australian)
ball,Cantonese
bread,Cantonese
milk,Cantonese
car,Cantonese
dog,Cantonese
fish (animal),Cantonese
cat,Cantonese
shoe,Cantonese
water (beverage),Cantonese
fish (food),Cantonese
biscuit,Cantonese
flower,Cantonese
hand,Cantonese
pen,Cantonese
water (not beverage),Cantonese
vegetable,Cantonese
leg,Cantonese
cup,Cantonese
rice,Cantonese
nose,Cantonese
butt,Cantonese
diaper,Cantonese
orange (food),Cantonese
book,Cantonese
eye,Cantonese
rain,Cantonese
light (object),Cantonese
head,Cantonese
bird,Cantonese
egg,Cantonese
mouth,Cantonese
clothes,Cantonese
candy,Cantonese
pants,Cantonese
sock,Cantonese
noodles,Cantonese
door,Cantonese
blanket,Cantonese
ear,Cantonese
banana,Cantonese
telephone,Cantonese
bus,Cantonese
chicken (animal),Cantonese
money,Cantonese
spoon,Cantonese
tv,Cantonese
apple,Cantonese
soup,Cantonese
face,Cantonese
horse,Cantonese
hat,Cantonese
umbrella,Cantonese
tooth,Cantonese
watch (object),Cantonese
chair,Cantonese
song,Cantonese
comb (object),Cantonese
boat,Cantonese
bear,Cantonese
cake,Cantonese
ice cream,Cantonese
airplane,Cantonese
hair,Cantonese
bed,Cantonese
bag,Cantonese
taxi,Cantonese
meat,Cantonese
paper,Cantonese
key,Cantonese
tree,Cantonese
pig,Cantonese
bowl,Cantonese
tummy,Cantonese
shrimp,Cantonese
duck,Cantonese
elevator,Cantonese
bunny,Cantonese
grapes,Cantonese
juice,Cantonese
toothbrush,Cantonese
trash,Cantonese
doll,Cantonese
towel,Cantonese
pillow,Cantonese
glasses,Cantonese
window,Cantonese
table,Cantonese
room,Cantonese
french fries,Cantonese
fan,Cantonese
turtle,Cantonese
floor,Cantonese
mirror,Cantonese
slide (object),Cantonese
medicine,Cantonese
fork,Cantonese
coke,Cantonese
chopstick,Cantonese
bicycle,Cantonese
bug,Cantonese
melon,Cantonese
street,Cantonese
mosquito,Cantonese
bathroom,Cantonese
beans,Cantonese
tissue,Cantonese
cow,Cantonese
knife,Cantonese
watermelon,Cantonese
tea,Cantonese
sausage,Cantonese
finger,Cantonese
food,Cantonese
bottle,Cantonese
corn,Cantonese
chocolate,Cantonese
elephant,Cantonese
star,Cantonese
wind,Cantonese
monkey,Cantonese
toy (object),Cantonese
refrigerator,Cantonese
stairs,Cantonese
mouse,Cantonese
kitchen,Cantonese
sun,Cantonese
couch,Cantonese
train,Cantonese
scissors,Cantonese
slipper,Cantonese
gun,Cantonese
plate,Cantonese
moon,Cantonese
butterfly,Cantonese
carousel,Cantonese
neck,Cantonese
swing (object),Cantonese
clock,Cantonese
pacifier,Cantonese
mushroom,Cantonese
button,Cantonese
stroller,Cantonese
macaroni,Cantonese
carrot,Cantonese
toe,Cantonese
ant,Cantonese
minibus,Cantonese
lion,Cantonese
grass,Cantonese
toothpaste,Cantonese
tongue,Cantonese
box,Cantonese
fruit,Cantonese
chicken (food),Cantonese
closet,Cantonese
tiger,Cantonese
sheep,Cantonese
tomato,Cantonese
broom,Cantonese
frog,Cantonese
sticker,Cantonese
skirt,Cantonese
wheel,Cantonese
soda,Cantonese
nut,Cantonese
camera,Cantonese
tofu,Cantonese
wallet,Cantonese
snake,Cantonese
belly button,Cantonese
jello,Cantonese
blocks,Cantonese
basin,Cantonese
leaf,Cantonese
cockroach,Cantonese
sky,Cantonese
air conditioner,Cantonese
newspaper,Cantonese
battery,Cantonese
nail (body part),Cantonese
computer,Cantonese
